,Institution,2009,2010,2011,2012,2013,2014,2015,2016,2016Finished
0,Institution,,,,,,,,,2016Complete?
1,Aberystwyth University,,,,57.0,85.0,61.0,62.0,48.0,Yes
2,Bangor University,,,,,,,107.0,71.0,
3,Birmingham City University,,,,,,,,,
4,Brunel University London,,,,,,,,,
5,Cardiff University,,,,,,,407.0,381.0,Yes
6,City University of London,,,155.0,264.0,288.0,271.0,246.0,,No
7,Coventry University,,,,,,,,,
8,De Montfort University,133.0,232.0,268.0,273.0,251.0,276.0,269.0,,Unlikely
9,Imperial,,328.0,344.0,384.0,372.0,374.0,459.0,491.0,Unlikely
10,Keele University,,,47.0,54.0,120.0,146.0,125.0,240.0,Yes
11,King’s College London,,76.0,145.0,200.0,156.0,121.0,124.0,126.0,Yes
12,Kingston University,,89.0,215.0,206.0,231.0,218.0,190.0,233.0,Yes
13,Leeds Beckett University,,,241.0,195.0,461.0,508.0,444.0,416.0,Unlikely
14,Liverpool John Moores University,,,,,,,,,
15,LSE,,59.0,69.0,26.0,58.0,50.0,23.0,2.0,No
16,Loughborough University,,,,,,,,,
17,University of Northumbria,937.0,1074.0,1054.0,1157.0,1199.0,1212.0,1242.0,1133.0,No
18,Oxford Brookes University,156.0,129.0,187.0,196.0,161.0,172.0,159.0,,
19,Queen Mary University of London,,,,,,,,,
20,Royal Holloway University of London,,,,,,,,27.0,
21,Sheffield Hallam University,,,,,,,85.0,289.0,Yes
22,Swansea University,,,,,,,,,
23,The Manchester Metropolitan University,,,,,,,,,
24,The Nottingham Trent University,,,268.0,315.0,383.0,384.0,483.0,,No
25,The Open University,,,,,,,,,
26,The Queen’s University of Belfast,,,,,,250.0,323.0,304.0,No
27,The University of Aberdeen,,331.0,373.0,490.0,411.0,444.0,437.0,,No
28,The University of Bath,189.0,201.0,53.0,55.0,44.0,48.0,88.0,45.0,No
29,The University of Birmingham,368.0,365.0,399.0,412.0,333.0,380.0,380.0,358.0,No
30,The University of Brighton,,296.0,308.0,394.0,448.0,413.0,401.0,,No
31,The University of Bristol,38.0,69.0,81.0,110.0,60.0,81.0,92.0,58.0,No
32,The University of Cambridge,218.0,219.0,263.0,298.0,365.0,516.0,608.0,603.0,No
33,The University of Central Lancashire,320.0,371.0,528.0,617.0,730.0,643.0,480.0,,No
34,The University of Dundee,,,,,1009.0,878.0,1019.0,,No
35,The University of East Anglia,,,,,,,,,
36,The University of Edinburgh,462.0,504.0,449.0,468.0,519.0,410.0,473.0,507.0,Yes
37,The University of Essex,85.0,112.0,144.0,239.0,217.0,194.0,220.0,243.0,
38,The University of Exeter,,,,,,245.0,387.0,358.0,No
39,The University of Glasgow,,366.0,326.0,293.0,296.0,225.0,269.0,268.0,Yes
40,The University of Greenwich,112.0,,160.0,244.0,161.0,164.0,169.0,157.0,No
41,The University of Hull,199.0,150.0,180.0,184.0,221.0,251.0,290.0,,No
42,The University of Kent,71.0,79.0,115.0,148.0,243.0,343.0,372.0,396.0,No
43,The University of Lancaster,,,,,108.0,104.0,123.0,72.0,No
44,The University of Leeds,,,,,,,,725.0,Yes
45,The University of Leicester,,,,,,,269.0,239.0,
46,The University of Liverpool,,,,,,133.0,204.0,194.0,Yes
47,The University of Manchester,,1306.0,885.0,905.0,684.0,610.0,483.0,179.0,Yes
48,The University of Oxford,701.0,595.0,602.0,623.0,675.0,809.0,782.0,542.0,No
49,The University of Portsmouth,299.0,367.0,359.0,413.0,415.0,415.0,386.0,418.0,Yes
50,The University of Reading,,,143.0,132.0,159.0,221.0,236.0,212.0,No
51,The University of Salford,,,,,,,,,
52,The University of Sheffield,,,,,,,,412.0,Yes
53,The University of Southampton,,,,,,,,,
54,The University of St Andrews,,,,,1150.0,1321.0,1389.0,1589.0,
55,The University of Stirling,,,,,,,,,
56,The University of Strathclyde,252.0,242.0,236.0,251.0,273.0,292.0,287.0,267.0,Yes
57,The University of Surrey,200.0,195.0,235.0,194.0,200.0,223.0,266.0,,No
58,The University of Sussex,220.0,205.0,235.0,198.0,198.0,167.0,206.0,280.0,Yes
59,The University of Warwick,,745.0,638.0,494.0,687.0,581.0,565.0,666.0,Yes
60,The University of Westminster,139.0,,136.0,,170.0,,197.0,,Yes
61,The University of Wolverhampton,,,,,,,,,
62,The University of York,155.0,138.0,138.0,137.0,173.0,196.0,199.0,,No
63,University College London,,,,,,,,,
64,University of Derby,,,,,,,,,
65,University of Durham,220.0,266.0,303.0,306.0,334.0,329.0,345.0,498.0,No
66,University of Hertfordshire,,197.0,362.0,412.0,251.0,250.0,101.0,443.0,Yes
67,University of Northumbria,,,,,,,,,
68,University of Nottingham,,,,,,,,,
69,University of Plymouth,,,,,,,,,
70,University of South Wales,,,,,,,,,
71,University of the Arts London,,,155.0,147.0,150.0,131.0,150.0,149.0,Yes
72,University of the West of England,,,,,175.0,179.0,195.0,189.0,No
73,University of Ulster,893.0,894.0,,,,,,,
74,University of Worcester,,,,25.0,48.0,46.0,39.0,39.0,No
75,Totals,,,,,,,,,
